dataset,paraphrase_type,count,mean,std,min,25%,50%,75%,max
alpaca,instruct_90char_bullet,499.0,7.114228456913827,2.869479675891299,0.0,5.0,8.0,10.0,10.0
alpaca,instruct_aave,499.0,6.857715430861724,2.7076041201527667,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_absurdist,499.0,6.3346693386773545,3.038940783434691,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_acronyms_spelled_out,499.0,6.613226452905812,2.6662974287833285,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_advertisement,499.0,6.102204408817635,3.3171658849587153,0.0,3.0,7.0,9.0,10.0
alpaca,instruct_all_caps,499.0,7.703406813627255,2.421500169132785,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_all_caps_and_typo,499.0,7.787575150300601,2.662201193117129,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_all_caps_and_typo_and_missing_bracket,499.0,7.529058116232465,2.701453073711836,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_all_caps_and_typo_and_missing_bracket_and_random_characters,499.0,7.328657314629258,2.9103403106331722,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_ambiguous_scope,499.0,6.973947895791583,2.6791854703301703,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_american_english,499.0,7.7234468937875755,2.4089173655777607,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_apologetic,499.0,6.741482965931864,3.0706707215085993,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_apology,499.0,6.98997995991984,3.036243550704716,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_archaic,499.0,6.761523046092185,2.8737215570265704,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_australian_english,499.0,7.306613226452906,2.5349319265404717,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_authoritative,499.0,7.424849699398798,2.622091758159455,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_base64,499.0,0.6513026052104208,2.0176563272352794,0.0,0.0,0.0,0.0,10.0
alpaca,instruct_british_english,499.0,7.484969939879759,2.508074220248535,0.0,6.5,8.0,9.0,10.0
alpaca,instruct_bullet_list,499.0,7.725450901803607,2.3100039002501425,0.0,7.0,8.0,9.0,10.0
alpaca,instruct_bulleted_outline,499.0,6.8216432865731464,2.581649115124772,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_bureaucratic,499.0,6.869739478957916,3.0288217473090784,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_casual,499.0,7.210420841683367,2.8330046389626737,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_casual_chat,499.0,7.877755511022044,2.481879342884184,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_checklist,499.0,7.13627254509018,2.4880168498723494,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_checklist_markdown,499.0,6.244488977955911,2.637455092858671,0.0,4.0,6.0,8.5,10.0
alpaca,instruct_chemical_smiles,499.0,5.741482965931864,3.4220086466755326,0.0,2.0,6.0,9.0,10.0
alpaca,instruct_child_directed,499.0,7.162324649298597,2.981149512600726,0.0,6.0,8.0,9.5,10.0
alpaca,instruct_choice_question,499.0,6.921843687374749,3.3220547857634264,0.0,4.0,8.0,10.0,10.0
alpaca,instruct_cleft_it_is,499.0,7.412825651302605,2.6920073264099984,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_cockney,499.0,5.74749498997996,3.4664729157136733,0.0,3.0,7.0,9.0,10.0
alpaca,instruct_code_fence,499.0,7.907815631262525,2.5935351813739196,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_colloquial,499.0,7.070140280561122,2.9221990296755744,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_command,499.0,7.64128256513026,2.554148361730688,0.0,6.5,9.0,10.0,10.0
alpaca,instruct_condensed_then_expand,499.0,6.997995991983968,2.4977893824701654,0.0,6.0,7.0,9.0,10.0
alpaca,instruct_condensed_then_expand_with_examples,499.0,6.609218436873747,2.5185247782412667,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations,499.0,6.390781563126253,2.290541751736158,0.0,5.0,7.0,8.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary,499.0,5.891783567134269,2.414878709579099,0.0,4.0,6.0,8.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks,499.0,5.284569138276553,2.272407911355667,0.0,4.0,5.0,7.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits,499.0,5.0881763527054105,2.1190095059027816,0.0,4.0,5.0,7.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references,499.0,4.38877755511022,2.0771162597319885,0.0,3.0,4.0,6.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations,499.0,4.104208416833667,2.0664567011773225,0.0,3.0,4.0,5.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments,499.0,3.6733466933867733,1.9314328238528808,0.0,2.0,3.0,5.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals,499.0,3.466933867735471,1.9399646049112609,0.0,2.0,3.0,5.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies,499.0,3.3286573146292584,1.9149067528970611,0.0,2.0,3.0,4.0,10.0
alpaca,instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies_and_metaphors,499.0,3.150300601202405,1.9094604122850978,0.0,2.0,3.0,4.0,10.0
alpaca,instruct_confident,499.0,7.330661322645291,2.685840038120016,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_contractions,499.0,7.1783567134268536,2.68010903561425,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_contradictory_ask,499.0,6.274549098196393,3.176655174785604,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_coord_to_subord,499.0,7.731462925851703,2.3846968739971257,0.0,7.0,8.0,9.0,10.0
alpaca,instruct_csv_line,499.0,5.929859719438878,3.462520233272871,0.0,3.0,7.0,9.0,10.0
alpaca,instruct_csv_row,499.0,4.937875751503006,3.49844318454009,0.0,2.0,5.0,8.0,10.0
alpaca,instruct_culinary_jargon,499.0,6.897795591182365,3.0811603898030637,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_curly_quotations,499.0,8.120240480961924,2.278230118353557,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_curly_quotations_and_missing_bracket,499.0,7.887775551102204,2.373597844757616,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_curly_quotations_and_missing_bracket_and_typo,499.0,7.719438877755511,2.5658873704359264,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters,499.0,7.35871743486974,2.955761367119147,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters_and_extra_space,499.0,7.486973947895792,2.882109798199603,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_curly_quotations_and_typo,499.0,7.86372745490982,2.5089132141091413,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_cynical,499.0,6.997995991983968,2.6755617193479444,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_deadpan,499.0,8.060120240480963,2.458570940577177,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_debate_turns,499.0,6.787575150300601,3.1893028300918456,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_deferential,499.0,6.917835671342686,2.9108684521346255,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_direct_question,499.0,7.551102204408818,2.6134679347869927,0.0,6.5,8.0,10.0,10.0
alpaca,instruct_dogmatic,499.0,6.9318637274549095,3.1716880606521296,0.0,5.0,8.0,10.0,10.0
alpaca,instruct_double_negative,499.0,6.05811623246493,3.6259092833441375,0.0,3.0,7.0,9.0,10.0
alpaca,instruct_dramatic,499.0,7.312625250501002,2.9518323425557083,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_dual_audience,499.0,6.993987975951904,2.3707479222174817,0.0,6.0,7.0,9.0,10.0
alpaca,instruct_dynamic_quiz,499.0,6.2885771543086175,2.939976808428172,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_edit_typo,499.0,7.114228456913827,3.170043320607771,0.0,5.5,8.0,10.0,10.0
alpaca,instruct_ellipsis_style,499.0,6.697394789579159,2.6591157954680607,0.0,5.5,7.0,9.0,10.0
alpaca,instruct_em_dash_break,499.0,7.777555110220441,2.298204562547511,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_email,499.0,7.282565130260521,2.698042692536486,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_emergency_alert,499.0,7.362725450901803,3.0317419454281094,0.0,6.0,9.0,10.0,10.0
alpaca,instruct_emoji,499.0,8.114228456913828,2.512014894708383,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoji_and_typo,499.0,7.789579158316633,2.690495621629316,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoji_and_typo_and_missing_bracket,499.0,7.6072144288577155,2.8166936483306824,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoji_and_typo_and_random_question_marks,499.0,7.703406813627255,2.7718117139415948,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoji_only,499.0,1.346693386773547,2.7334834580509364,0.0,0.0,0.0,1.0,10.0
alpaca,instruct_emoticon,499.0,8.114228456913828,2.4340658706292384,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoticon_and_typo,499.0,7.749498997995992,2.6892943247923684,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoticon_and_typo_and_missing_bracket,499.0,7.517034068136272,2.887657299535373,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_emoticon_and_typo_and_random_exclamations,499.0,7.661322645290581,2.8389727224090313,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_empty_input,499.0,6.783567134268537,3.5405355624932113,0.0,4.0,8.0,10.0,10.0
alpaca,instruct_enthusiastic,499.0,7.529058116232465,2.6504256903352745,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_error_message,499.0,6.845691382765531,3.4423298814898438,0.0,5.0,8.0,10.0,10.0
alpaca,instruct_euphemistic,499.0,6.390781563126253,3.232862631408112,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_evidence_cited_md,499.0,6.072144288577154,2.6659397122628494,0.0,4.0,6.0,8.0,10.0
alpaca,instruct_exact_numbers,499.0,7.248496993987976,3.0770514666486486,0.0,5.0,8.0,10.0,10.0
alpaca,instruct_exam_prompt,499.0,7.755511022044089,2.61988547248434,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_exclamation,499.0,7.50501002004008,2.681461521908098,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_expert_consensus,499.0,7.322645290581162,2.563668817859187,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_extra_punct,499.0,7.7374749498997994,2.325262527147067,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_fact_check_inline,499.0,6.286573146292585,2.8971735430093886,0.0,4.0,7.0,9.0,10.0
alpaca,instruct_fashion_jargon,499.0,6.905811623246493,3.0898763138879324,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_few_words,499.0,6.513026052104208,3.0453946172576605,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_fewest_words,499.0,4.697394789579159,3.3109610506268385,0.0,2.0,5.0,7.0,10.0
alpaca,instruct_finance_jargon,499.0,6.775551102204409,3.1248652094454568,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_first_plural,499.0,7.480961923847695,2.5930743171397816,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_first_singular,499.0,7.374749498997996,2.6589705120800406,0.0,6.0,8.0,9.0,10.0
alpaca,instruct_footnotes,499.0,6.254509018036072,2.72600055493775,0.0,5.0,7.0,9.0,10.0
alpaca,instruct_formal_academic,499.0,7.218436873747495,2.849360662722099,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_formal_business,499.0,7.5811623246492985,2.6659623539717483,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_formal_memo,499.0,6.69939879759519,3.124880662665723,0.0,4.0,8.0,9.0,10.0
alpaca,instruct_forum_quote,499.0,7.7695390781563125,2.7697799029560506,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_friendly,499.0,7.482965931863728,2.60004835080963,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_future_tense,499.0,7.571142284569138,2.6045312881051106,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_fuzzy_numbers,499.0,7.679358717434869,2.555684032323136,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_gamer_slang,499.0,6.75751503006012,3.1238361105308283,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_gaming_jargon,499.0,6.8537074148296595,3.1870472798534406,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_garden_path,499.0,7.1002004008016035,3.2974950879934917,0.0,5.0,9.0,10.0,10.0
alpaca,instruct_greeting,499.0,7.5350701402805615,2.569568694976453,0.0,7.0,8.0,10.0,10.0
alpaca,instruct_haiku,499.0,4.112224448897796,3.8977172370972353,0.0,0.0,3.0,8.0,10.0
alpaca,instruct_hashtags,499.0,7.679358717434869,2.28611023127436,0.0,7.0,8.0,9.5,10.0
alpaca,instruct_helpful_markdown_structure,499.0,7.995991983967936,2.4264241394185984,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_helpful_meaning_reinforing_characters,499.0,8.114228456913828,2.4373635181462334,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_hinglish,499.0,6.8997995991983965,2.994301810648494,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_hopeful,499.0,7.55310621242485,2.7003430859557382,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_html_comment,499.0,7.8216432865731464,2.3349648280010618,0.0,7.0,9.0,9.0,10.0
alpaca,instruct_html_tags,499.0,8.064128256513026,2.4371406215522415,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_humorous,499.0,6.793587174348698,3.2312913724470027,0.0,5.0,8.0,9.0,10.0
alpaca,instruct_hypothetical_if,499.0,7.855711422845691,2.4599650724186835,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_impersonal_one_should,499.0,7.547094188376754,2.5927158105436985,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_indirect_question,499.0,7.376753507014028,2.8746120187594557,0.0,6.0,8.0,10.0,10.0
alpaca,instruct_indirect_relay,499.0,7.7114228456913825,2.760320135157031,0.0,7.0,9.0,10.0,10.0
alpaca,instruct_informal,499.0,7.529058116232465,2.7007096558516057,0.0,7.0,8.0,10.0,10.0
