,p_value,cohen_d
instruct_90char_bullet,1.3344690721221952e-13,-0.30089854307512776
instruct_aave,0.0,-2.2527233923256005
instruct_absurdist,0.0,-2.2671958399489673
instruct_acronyms_spelled_out,0.0,-3.0269386955419972
instruct_advertisement,0.0,-2.2946228267888866
instruct_all_caps,1.9737899752999978e-89,-0.7918219208782215
instruct_all_caps_and_typo,0.23772642588987847,-0.12389972371856516
instruct_all_caps_and_typo_and_missing_bracket,1.0,0.051381479439345505
instruct_all_caps_and_typo_and_missing_bracket_and_random_characters,0.032636962924465066,0.14276514564060705
instruct_ambiguous_scope,6.771957660706451e-218,-1.304581327013942
instruct_american_english,0.0,-2.417314103956984
instruct_apologetic,0.0,-3.3717145883849504
instruct_apology,0.0,-3.0807689399207527
instruct_archaic,0.0,-1.6274068634301335
instruct_australian_english,1.326637517641491e-64,-0.661170941788617
instruct_authoritative,0.0,-2.209756675125286
instruct_base64,0.0,-3.344653697995029
instruct_british_english,2.6573751428342545e-33,-0.4690181197413044
instruct_bullet_list,5.074890645544287e-137,-0.997455817526382
instruct_bulleted_outline,9.03469266237123e-196,-1.2134271572142963
instruct_bureaucratic,7.6542306057932e-310,-1.5783297918407309
instruct_casual,1.7594713169218896e-225,-1.3336015558490122
instruct_casual_chat,0.0,-3.285774149807982
instruct_checklist,6.471280101104455e-28,-0.4291879665233235
instruct_checklist_markdown,0.0,-2.4796701931584164
instruct_chemical_smiles,0.0,-2.5284470459304567
instruct_child_directed,0.0,-3.141130764524283
instruct_chinese_simplified,1.0,-0.10753277065253744
instruct_choice_question,0.0,-3.1488318696328883
instruct_cleft_it_is,0.0,-3.0716557178879733
instruct_cockney,2.5349959873359498e-201,-1.2347195644486417
instruct_code_fence,1.0,0.07844028602366478
instruct_colloquial,0.0,-2.887702430413297
instruct_command,3.058115807191475e-74,-0.7122969087783395
instruct_comparison_table,0.0,-3.204948241833385
instruct_condensed_then_expand,0.0,-2.8563311616990394
instruct_condensed_then_expand_with_examples,0.0,-2.9868506598994005
instruct_condensed_then_expand_with_examples_and_explanations,0.0,-3.0129787140392486
instruct_condensed_then_expand_with_examples_and_explanations_and_summary,0.0,-2.9446571072610834
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks,0.0,-2.845106342267877
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits,0.0,-2.8827377463852617
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references,0.0,-2.518481186681238
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations,0.0,-2.461354552735457
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments,0.0,-2.55449086713153
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals,0.0,-2.6571591264171883
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies,0.0,-2.627586980595873
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies_and_metaphors,0.0,-2.6330768405715475
instruct_confident,0.0,-2.7497697366862854
instruct_contractions,0.0,-3.267521998389863
instruct_contradictory_ask,0.0,-2.5688148359279133
instruct_coord_to_subord,0.0,-2.894266632626223
instruct_csv_line,0.9751480836667104,0.10897851272092539
instruct_csv_row,1.0,0.05634095904206025
instruct_culinary_jargon,4.835713820663622e-146,-1.0291129630618314
instruct_curly_quotations,0.0,-2.427798572418904
instruct_curly_quotations_and_missing_bracket,1.3815332700540533e-187,-1.190678013115097
instruct_curly_quotations_and_missing_bracket_and_typo,1.0,-0.08001408281122521
instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters,1.0,0.0792573510048736
instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters_and_extra_space,1.0,0.07299459595381991
instruct_curly_quotations_and_typo,3.0290387028818903e-16,-0.3276697814311644
instruct_cynical,0.0,-2.059037480015568
instruct_deadpan,5.378901070526525e-10,-0.2605827519931466
instruct_debate_turns,0.0,-2.7116548581040507
instruct_deferential,0.0,-3.2458390001608355
instruct_direct_question,6.311779276873301e-146,-1.0389862824219118
instruct_dogmatic,0.0,-2.9858907065427482
instruct_double_negative,0.0,-3.034462202655731
instruct_dramatic,0.0,-2.741853701573095
instruct_dual_audience,0.0,-3.1871388113683103
instruct_dynamic_quiz,0.0,-3.300460300361387
instruct_edit_typo,0.0,-2.586418265098995
instruct_ellipsis_style,0.0,-1.709698873219673
instruct_em_dash_break,0.0,-2.0198390459001008
instruct_email,0.0,-3.1736966331013337
instruct_emergency_alert,8.683927353816517e-49,-0.5679102750244521
instruct_emoji,1.0,0.04230782253641496
instruct_emoji_and_typo,1.0,0.092746916813986
instruct_emoji_and_typo_and_missing_bracket,0.7232586852457279,0.11216585034995218
instruct_emoji_and_typo_and_random_question_marks,0.039126675489552516,0.14114125608430098
instruct_emoji_only,0.2017377694777997,0.1256856072699553
instruct_emoticon,1.0,0.03471921192780573
instruct_emoticon_and_typo,0.23969330341793163,0.12382258692633091
instruct_emoticon_and_typo_and_missing_bracket,0.016506021110516977,0.14876393313868042
instruct_emoticon_and_typo_and_random_exclamations,0.0020108948615609333,0.1660485333291714
instruct_empty_input,1.0,0.037202921356309634
instruct_enthusiastic,0.0,-2.8703808084723916
instruct_error_message,0.0,-2.1960999751748442
instruct_esperanto,8.808078269685586e-07,0.21928324212762618
instruct_euphemistic,8.330653726026207e-104,-0.8506046240053485
instruct_evidence_cited_md,0.0,-2.9923421362029914
instruct_exact_numbers,0.0,-1.8770123933242637
instruct_exam_prompt,0.0,-3.1472716648494403
instruct_exclamation,7.691086005203424e-08,-0.2334284097579855
instruct_expert_consensus,0.0,-3.0488809247568045
instruct_extra_punct,1.0,0.10637427639221642
instruct_fact_check_inline,0.0,-2.9867781654576153
instruct_fashion_jargon,3.1654925829176078e-155,-1.0621998922844906
instruct_few_words,0.009025778123683471,0.15389653621043142
instruct_fewest_words,5.050615600354857e-12,0.28406803411361503
instruct_finance_jargon,6.067528468061601e-59,-0.6279742488600644
instruct_first_plural,0.0,-3.035482403245025
instruct_first_singular,0.0,-3.130419922061584
instruct_footnotes,1.0959199357791074e-290,-1.5547715949439238
instruct_formal_academic,2.4575197794394684e-195,-1.2111875434416923
instruct_formal_business,2.5233912200421374e-247,-1.3859167135600023
instruct_formal_memo,0.0,-2.6492514915827443
instruct_forum_quote,0.0,-2.9090898292851506
instruct_french,1.2573429479476933e-198,-1.2377671948588838
instruct_friendly,0.0,-3.2421318338940543
instruct_future_tense,0.0,-2.8552546497771454
instruct_fuzzy_numbers,1.0,-0.07236503847030934
instruct_gamer_slang,1.0,-0.06481454449769643
instruct_gaming_jargon,8.344196991759039e-16,-0.3237534290036318
instruct_garden_path,0.0,-3.0105936202521253
instruct_german,5.572534299832686e-95,-0.817809705244932
instruct_greeting,0.0,-2.745950898694837
instruct_haiku,9.965478482233025e-81,0.7532954369271042
instruct_hashtags,1.9709252486285664e-245,-1.3973370522551136
instruct_helpful_markdown_structure,4.966126339824617e-260,-1.444151240934239
instruct_helpful_meaning_reinforing_characters,0.9312862112121404,0.10935042467898731
instruct_hinglish,1.0,0.03496727781878442
instruct_hopeful,0.0,-3.0988120080101225
instruct_html_comment,1.0644955994376418e-29,-0.4425561895437641
instruct_html_tags,0.0,-2.7657754190586994
instruct_humorous,0.0,-3.083803871815644
instruct_hypothetical_if,0.0,-3.283237350765645
instruct_impersonal_one_should,0.0,-1.659511123431656
instruct_indirect_question,0.0,-3.095456286347538
instruct_indirect_relay,0.0,-3.2575531657287997
instruct_informal,3.436457371698002e-37,-0.49622664243802167
instruct_inline_ad,0.0,-2.294939333183694
instruct_inline_url,0.0,-2.948257852762695
instruct_insulting,0.0,-2.896308793815826
instruct_interrobang,1.0,-0.07247776646728896
instruct_inversion,0.0,-1.7398728685663054
instruct_ironic,0.0,-3.0880077983406244
instruct_jargon,7.02311675964214e-20,-0.36110149289950433
instruct_joke,0.0,-3.147837167513067
instruct_journalist_interview,0.0,-3.124527833835525
instruct_json_format,2.4276370571095984e-27,-0.4243687721701625
instruct_key_smash,1.4253491580824206e-60,-0.6397398078061844
instruct_klingon,0.00011523440306919155,0.187419654232998
instruct_leet_speak,0.0,-3.4423424901616952
instruct_legal_jargon,3.0752525593527928e-117,-0.9131550329033266
instruct_legalease,0.0,-2.753226671537816
instruct_legalese,0.0,-2.5555116892732044
instruct_lighthearted,0.0,-3.1625446249302795
instruct_litotes,0.0,-2.754351963825747
instruct_lyrical,0.0,-2.256462668573709
instruct_malapropism,1.402531733216346e-21,-0.3764363275921227
instruct_markdown_bold,7.368278139298267e-64,-0.6579735865218513
instruct_markdown_bold_and_italic,3.548691418298621e-07,-0.22447966427487073
instruct_markdown_doc,0.0,-2.9115547697825193
instruct_markdown_italic,1.0,-0.060156398167252406
instruct_markdown_quote,3.759323805476345e-254,-1.4201431840486842
instruct_marketing,0.0,-2.0999952769369776
instruct_marketing_speak,5.996416249452035e-293,-1.5201646033517773
instruct_medical_jargon,1.0692290994465795e-11,-0.2804417417211012
instruct_melancholy,0.0,-2.8264105772545065
instruct_memo,0.0,-2.7609802321451684
instruct_meta_question,0.0,-3.057970131433561
instruct_might_be_wrong,0.0,-3.3644775662006174
instruct_minimalist,9.958697081115545e-14,0.3024951453022217
instruct_misplaced_commas,3.6846864066033616e-119,-0.9224062357823617
instruct_missing_bracket,1.4130606324457062e-27,-0.42628219318995236
instruct_missing_bracket_and_quote,7.810399487697766e-09,-0.24660704320112525
instruct_missing_quote,1.0338304194720273e-194,-1.2196307058490568
instruct_modal_may,0.0,-3.013510150602699
instruct_modal_must,0.0,-2.953462998613365
instruct_modal_should,0.0,-3.0986126283095956
instruct_morse_code,0.0,-3.4306750757310165
instruct_multi_paragraph,0.0,-3.4281622411651456
instruct_musical_notation,0.0,-2.41655420923177
instruct_negated,0.0,-2.785438670639615
instruct_nested_parentheticals,0.0,-3.178146251963462
instruct_nested_question,0.0,-3.171618361486872
