,p_value,cohen_d
instruct_90char_bullet,8.156057014686932e-34,-0.46692628381370477
instruct_aave,3.2188627470392106e-13,-0.2956095853115882
instruct_absurdist,3.8856395160232395e-52,-0.5816317866115425
instruct_acronyms_spelled_out,1.5385344489822754e-14,-0.3090549613631614
instruct_advertisement,1.546872745489425e-45,-0.5428466048287713
instruct_all_caps,1.0,-0.08712982129449982
instruct_all_caps_and_typo,0.1689151715775293,-0.12718614418731633
instruct_all_caps_and_typo_and_missing_bracket,1.287542174327592e-05,-0.2015754044856434
instruct_all_caps_and_typo_and_missing_bracket_and_random_characters,1.8512804007622481e-07,-0.22764114496843735
instruct_ambiguous_scope,1.3490291631801514e-12,-0.288876696241366
instruct_american_english,1.0,-0.09402507372346992
instruct_apologetic,2.8045446235497506e-15,-0.316427458790181
instruct_apology,3.530307097054433e-21,-0.37039136313973825
instruct_archaic,1.368189797454914e-40,-0.5119134619502236
instruct_australian_english,2.581165587879412e-15,-0.31693833656817355
instruct_authoritative,1.4264861352462188e-13,-0.29915527689306787
instruct_base64,0.0,-2.232394488672966
instruct_british_english,3.200211655132613e-06,-0.2105618244066278
instruct_bullet_list,1.0,-0.006376118786256473
instruct_bulleted_outline,8.507040517864351e-10,-0.257186281460433
instruct_bureaucratic,2.975813038329371e-39,-0.5033450539261523
instruct_casual,6.298119634276254e-10,-0.2588683464481078
instruct_casual_chat,0.07573601816737412,-0.1349121945089645
instruct_checklist,1.569948400525462e-16,-0.3287757135887192
instruct_checklist_markdown,1.8936802478164966e-73,-0.6949212312852096
instruct_chemical_smiles,1.6732733912897127e-86,-0.7574916389344848
instruct_child_directed,2.329711414704953e-23,-0.3885958648140185
instruct_chinese_simplified,4.583442400866708e-30,-0.4404930602157095
instruct_choice_question,5.279973502098087e-54,-0.5925961776420905
instruct_cleft_it_is,7.826640746551746e-08,-0.23275995483977097
instruct_cockney,1.892819344184214e-71,-0.68546294697681
instruct_code_fence,0.0003113881312484718,-0.17974228330490932
instruct_colloquial,1.6672384120731443e-39,-0.5049679112145026
instruct_command,2.582308309938996e-18,-0.34516452209251236
instruct_comparison_table,7.5056255262376135e-59,-0.6191156952010598
instruct_condensed_then_expand,3.925992277559853e-27,-0.41837294592002294
instruct_condensed_then_expand_with_examples,2.3163644283597022e-55,-0.6000509670328129
instruct_condensed_then_expand_with_examples_and_explanations,1.5378530038666215e-67,-0.66540014094005
instruct_condensed_then_expand_with_examples_and_explanations_and_summary,7.131291802529957e-90,-0.7735452760885912
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks,1.0260204080998723e-122,-0.9162505689293603
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits,1.162089510559125e-146,-1.0127761235339185
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references,9.847695664024889e-201,-1.2160931713845056
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations,3.6783392930355564e-231,-1.3245228842650831
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments,4.156425678691143e-285,-1.5195081804899326
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals,1.3539191679194801e-307,-1.5982313813036508
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies,0.0,-1.6837315323546502
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies_and_metaphors,0.0,-1.767155431849457
instruct_confident,2.2005021093007463e-12,-0.28656261663528415
instruct_contractions,1.7787966500116174e-10,-0.26519118623141863
instruct_contradictory_ask,1.4414307029496566e-74,-0.700383833282153
instruct_coord_to_subord,0.4415357463650157,-0.11746074229862942
instruct_csv_line,1.0692052185856951e-89,-0.7729698465998049
instruct_csv_row,1.0216611475499642e-173,-1.10981372086911
instruct_culinary_jargon,4.28154819608485e-31,-0.4480107500772791
instruct_curly_quotations,1.0,-0.061694302516643026
instruct_curly_quotations_and_missing_bracket,1.0,-0.10692445553274961
instruct_curly_quotations_and_missing_bracket_and_typo,0.00769155032694831,-0.15498572802503777
instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters,5.845617522157371e-06,-0.20665813953095294
instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters_and_extra_space,5.701088986583973e-07,-0.22100837354975164
instruct_curly_quotations_and_typo,0.8667361138917888,-0.11006441082365834
instruct_cynical,6.817640486716819e-64,-0.6461207682696186
instruct_deadpan,0.005112772722360991,-0.1583326492936039
instruct_debate_turns,3.121739627437889e-58,-0.6159875867382635
instruct_deferential,7.11258212169785e-26,-0.4086606444046204
instruct_direct_question,1.0377401092092756e-15,-0.3206566668394738
instruct_dogmatic,1.7172374175165812e-48,-0.5605593553568876
instruct_double_negative,1.0441084198656623e-112,-0.8738682085110062
instruct_dramatic,5.879852357088264e-51,-0.5750779277434233
instruct_dual_audience,1.9300792366914554e-43,-0.5298992861888315
instruct_dynamic_quiz,4.207879931020946e-28,-0.42572399011160145
instruct_edit_typo,6.656835469727614e-21,-0.36810153822458214
instruct_ellipsis_style,6.518888611961013e-23,-0.3849220217521024
